Scale,q,Model,Hidden,Act,Opt,LR,Epochs,L2,Clip,acc_mean,acc_std,acc_min,acc_max,acc_median,fnr_mean,fnr_std,fpr_mean,fpr_std,tpr_mean,ppv_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,10,MQ,,,,,,0.0001,,0.9825531914893617,0.021983985281854447,0.8936170212765957,1.0,0.9787234042553191,0.0,0.0,0.018222222222222223,0.022961051294381318,1.0,0.7823809523809524,0.00035917459987103937,6.380259997968097e-05,0.00042297719985072034
40x40,10,PL,,,momentum,0.02,300,0.001,,0.9812765957446808,0.024311245714188422,0.8936170212765957,1.0,0.9787234042553191,0.04,0.13564659966250536,0.017777777777777778,0.023094010767585032,0.96,0.7757142857142857,0.03454576433985494,0.00012490079992858228,0.03467066513978352
40x40,10,MLP-1H,"(256,)",relu6,rmsprop,0.005,200,0.0001,10.0,0.9808510638297873,0.024537367222703818,0.8936170212765957,1.0,0.9787234042553191,0.05,0.15,0.017777777777777778,0.023094010767585032,0.95,0.7723809523809524,0.14433467438015213,0.00011177549997228198,0.14444644988012442
40x40,10,MLP-2H,"(64, 32)",leaky_relu,nesterov,0.01,200,0.001,5.0,0.9787234042553191,0.025531914893617016,0.8936170212765957,1.0,0.9787234042553191,0.1,0.22360679774997896,0.017777777777777778,0.023094010767585032,0.9,0.7523809523809524,0.12478481472004205,0.00012239100004080684,0.12490720572008286
