Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,1600,MQ,none,,,,,,0.001,0.8048888888888889,0.04450884223429135,0.7111111111111111,0.9333333333333333,0.8,0.8444599511599511,0.8048888888888889,0.8124406767835339,0.0003303699399111792,3.698561806231737e-05,0.0003673555579734966
40x40,1600,PL,zscore,nesterov,,,0.02,300,0.001,0.8177777777777778,0.05144816401240101,0.6666666666666666,0.9333333333333333,0.8222222222222222,0.8565714285714285,0.8177777777777777,0.8207463229891802,0.03980312878033146,5.822590086609125e-05,0.03986135468119755
40x40,1600,MLP-1H,minmax,adam,swish,"(512,)",0.005,300,0.001,0.868,0.04733072501942261,0.7555555555555555,0.9777777777777777,0.8666666666666667,0.8966206349206349,0.868,0.8686489040060469,0.6580224207782885,0.0003644436219474301,0.658386864400236
40x40,1600,MLP-2H,minmax,adam,tanh,"(256, 128)",0.005,300,0.0001,0.8542222222222222,0.050117885720926035,0.7555555555555555,0.9777777777777777,0.8666666666666667,0.8854571428571428,0.8542222222222222,0.8566386999244142,0.5286863237625221,0.00039784436114132405,0.5290841681236634
