Scale,q,Model,Hidden,Act,Opt,LR,Epochs,L2,Clip,acc_mean,acc_std,acc_min,acc_max,acc_median,fnr_mean,fnr_std,fpr_mean,fpr_std,recall_mean,recall_std,recall_min,recall_max,recall_median,precision_mean,precision_std,precision_min,precision_max,precision_median,f1_score_mean,f1_score_std,f1_score_min,f1_score_max,f1_score_median,fit_time_mean,pred_time_mean,total_time_mean
30x30,79,MQ,,,,,,0.001,,0.8858333333333334,0.05174724898753341,0.75,0.9791666666666666,0.8958333333333334,0.0,0.0,0.12177777777777778,0.05519706558670231,1.0,0.0,1.0,1.0,1.0,0.3868909423909424,0.11943675516601573,0.2,0.75,0.375,0.5477166167166166,0.11912538270234298,0.33333333333333337,0.8571428571428571,0.5454545454545454,0.00015767349861562252,5.087872094009072e-05,0.00020855221955571324
30x30,79,PL,,,rmsprop,0.01,200,0.0,,0.8770833333333333,0.054843527421200765,0.75,0.9583333333333334,0.875,0.10666666666666667,0.20483055327649624,0.124,0.05588170928039662,0.8933333333333333,0.2048305532764962,0.3333333333333333,1.0,1.0,0.35504612054612056,0.13525948329364254,0.09090909090909091,0.6666666666666666,0.3333333333333333,0.4970373515373515,0.15152381297308312,0.14285714285714288,0.7499999999999999,0.4807692307692307,0.01686987212015083,4.152404057094827e-05,0.01691139616072178
30x30,79,MLP-1H,"(64,)",leaky_relu,adam,0.02,300,0.001,2.0,0.8858333333333334,0.05174724898753341,0.75,0.9791666666666666,0.8958333333333334,0.0,0.0,0.12177777777777778,0.05519706558670231,1.0,0.0,1.0,1.0,1.0,0.3868909423909424,0.11943675516601573,0.2,0.75,0.375,0.5477166167166166,0.11912538270234298,0.33333333333333337,0.8571428571428571,0.5454545454545454,0.08180671604117379,5.549373978283256e-05,0.08186220978095662
30x30,79,MLP-2H,"(512, 256)",relu6,rmsprop,0.02,300,0.001,0.0,0.88375,0.05402063648890734,0.75,0.9791666666666666,0.8958333333333334,0.03333333333333334,0.13743685418725538,0.12177777777777778,0.05519706558670231,0.9666666666666667,0.13743685418725535,0.3333333333333333,1.0,1.0,0.3786405816405816,0.1300762212464999,0.1111111111111111,0.75,0.375,0.5343313353313353,0.14031440491613606,0.16666666666666666,0.8571428571428571,0.5454545454545454,0.5873299370208406,0.0002844305589678697,0.5876143675798084
