Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
30x30,,MQ,minmax,,,,,,0.1,0.8075555555555556,0.04941334852391284,0.6666666666666666,0.9111111111111111,0.8,0.8411235827664398,0.8075555555555556,0.8164810744810745,0.01489309882013913,0.00021324119999917456,0.015106340020138305
30x30,,PL,minmax_pm1,adam,,,0.01,300,0.0001,0.8564444444444445,0.055191697353769824,0.6888888888888889,0.9777777777777777,0.8666666666666667,0.8867809523809523,0.8564444444444445,0.8576241874527589,0.05711818465995748,8.139745990774827e-05,0.05719958211986523
30x30,,MLP-1H,minmax,adam,sigmoid,"(128,)",0.005,200,0.0,0.8533333333333333,0.05351819812796576,0.7333333333333333,0.9555555555555556,0.8444444444444444,0.8835122448979591,0.8533333333333333,0.8557255538112681,0.28541905069996576,0.00017853715999081033,0.28559758785995654
30x30,,MLP-2H,minmax,momentum,relu,"(256, 256)",0.02,150,0.0,0.8404444444444444,0.05598765295983229,0.7111111111111111,0.9555555555555556,0.8444444444444444,0.870426984126984,0.8404444444444444,0.8431677364963079,0.2867390284801877,0.0002607832200374105,0.2869998117002251
