Model,acc_mean_base,acc_mean_boxcox,acc_delta,f1_mean_base,f1_mean_boxcox,f1_delta,fit_time_mean_base,fit_time_mean_boxcox,fit_time_delta
MQ,0.9591111111111111,0.8426666666666667,-0.11644444444444446,0.9574923520923521,0.8606452362452364,-0.0968471158471157,0.00019926326087443157,0.00016017796006053686,-3.908530081389472e-05
PL,0.9591111111111111,0.8408888888888889,-0.11822222222222223,0.9574923520923521,0.8575622953765811,-0.09993005671577093,0.021639196780161,0.01529786309984047,-0.006341333680320532
MLP-1H,0.956,0.8302222222222222,-0.12577777777777777,0.9541558441558442,0.8472880030022888,-0.10686784115355541,0.05358559318148764,0.2139679339004215,0.16038234071893384
MLP-2H,0.9484444444444444,0.836,-0.11244444444444446,0.9460190476190476,0.8531882620025478,-0.09283078561649982,0.4417488359005074,0.07717705957911676,-0.36457177632139065
