Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,Clip_grad,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
30x30,79,MQ,minmax,,,,,,0.0001,,0.9591111111111111,0.0285829958947796,0.8888888888888888,1.0,0.9555555555555556,0.9694555555555555,0.959111111111111,0.9574923520923521,0.00019926326087443157,6.058532017050311e-05,0.0002598485810449347
30x30,79,PL,zscore,sgd,,,0.005,200,0.0001,,0.9591111111111111,0.0285829958947796,0.8888888888888888,1.0,0.9555555555555556,0.9694555555555555,0.959111111111111,0.9574923520923521,0.021639196780161,5.309415981173515e-05,0.021692290939972735
30x30,79,MLP-1H,zscore,rmsprop,swish,"(16,)",0.02,200,0.0001,2.0,0.956,0.027212923581940676,0.8888888888888888,1.0,0.9555555555555556,0.9677,0.956,0.9541558441558442,0.05358559318148764,6.0801519721280785e-05,0.05364639470120892
30x30,79,MLP-2H,zscore,rmsprop,leaky_relu,"(512, 64)",0.005,300,0.001,0.0,0.9484444444444444,0.03368408057154918,0.8444444444444444,1.0,0.9555555555555556,0.963126984126984,0.9484444444444444,0.9460190476190476,0.4417488359005074,0.00027239251940045504,0.4420212284199079
