Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,Clip_grad,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
30x30,900,MQ,none,,,,,,0.0,,0.9613333333333334,0.02839231333988344,0.8888888888888888,1.0,0.9777777777777777,0.9713666666666666,0.9613333333333333,0.959812987012987,0.002190429299371317,6.739837961504236e-05,0.0022578276789863593
30x30,900,PL,none,adam,,,0.01,200,0.001,,0.8666666666666667,0.037449554547450484,0.7777777777777778,0.9333333333333333,0.8666666666666667,0.8972444444444444,0.8666666666666666,0.8674520030234316,0.02951934131939197,5.6987159769050774e-05,0.02957632847916102
30x30,900,MLP-1H,none,sgd,swish,"(128,)",0.01,200,0.0,10.0,0.8257777777777777,0.06164173670252732,0.6444444444444445,0.9555555555555556,0.8222222222222222,0.8740055293912437,0.8257777777777777,0.8287727885870744,0.10915883996029152,0.00010959504084894434,0.10926843500114046
30x30,900,MLP-2H,none,adam,sigmoid,"(256, 128)",0.02,200,0.0001,10.0,0.8395555555555555,0.05301572093885611,0.6888888888888889,0.9555555555555556,0.8222222222222222,0.8791095238095238,0.8395555555555555,0.8431412856984286,0.29900962181942303,0.00029957212042063474,0.2993091939398437
