Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,10,MQ,boxcox+zscore,,,,,,0.0001,0.6946666666666667,0.053483122987017545,0.6,0.8,0.6888888888888889,0.7457570236641665,0.6946666666666667,0.7307982771197057,8.379804145079105e-05,3.0778360669501124e-05,0.00011457640212029219
40x40,10,PL,boxcox+zscore,nesterov,,,0.01,300,0.0,0.7644444444444445,0.059958833614364625,0.6444444444444445,0.8666666666666667,0.7666666666666666,0.8315965608465608,0.7644444444444444,0.7732687761973477,0.027746312899980693,5.4558537667617204e-05,0.02780087143764831
40x40,10,MLP-1H,boxcox+zscore,rmsprop,sigmoid,"(256,)",0.02,300,0.0001,0.7844444444444444,0.06903210918670698,0.5777777777777777,0.9111111111111111,0.7777777777777778,0.8523320105820106,0.7844444444444444,0.7918425672211387,0.15894904530374332,0.0001214971806621179,0.15907054248440544
40x40,10,MLP-2H,boxcox+zscore,nesterov,swish,"(128, 256)",0.02,200,0.0,0.7826666666666666,0.06258465871260177,0.6,0.9111111111111111,0.7777777777777778,0.8475273242630386,0.7826666666666666,0.7888164544450259,0.32136362766090315,0.0002842767769470811,0.32164790443785024
