Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,10,MQ,minmax_pm1,,,,,,0.01,0.7266666666666667,0.0447213595499958,0.6,0.8,0.7333333333333333,0.7528598988313273,0.7266666666666666,0.7658769421055135,7.76246574241668e-05,2.683444181457162e-05,0.00010445909923873841
40x40,10,PL,zscore,rmsprop,,,0.02,300,0.001,0.8373333333333334,0.05541136844625315,0.7111111111111111,0.9333333333333333,0.8444444444444444,0.8750269841269841,0.8373333333333334,0.8365649144506287,0.025571583081036808,4.905706096906215e-05,0.02562064014200587
40x40,10,MLP-1H,minmax_pm1,adam,swish,"(64,)",0.02,200,0.001,0.8515555555555555,0.05285713332379913,0.7111111111111111,0.9555555555555556,0.8666666666666667,0.8888979591836734,0.8515555555555555,0.850969463340892,0.07844915967900307,5.957009911071509e-05,0.07850872977811378
40x40,10,MLP-2H,minmax_pm1,nesterov,tanh,"(64, 128)",0.01,300,0.0001,0.8497777777777777,0.05398856760554743,0.7333333333333333,0.9777777777777777,0.8444444444444444,0.885415873015873,0.8497777777777777,0.8500135938135939,0.19528051032102667,0.00015293903823476284,0.19543344935926144
