Model,acc_mean_base,acc_mean_boxcox,acc_delta,f1_mean_base,f1_mean_boxcox,f1_delta,fit_time_mean_base,fit_time_mean_boxcox,fit_time_delta
MQ,0.7266666666666667,0.6946666666666667,-0.03200000000000003,0.7658769421055135,0.7307982771197057,-0.035078664985807806,7.76246574241668e-05,8.379804145079105e-05,6.1733840266242585e-06
PL,0.8373333333333334,0.7644444444444445,-0.07288888888888889,0.8365649144506287,0.7732687761973477,-0.06329613825328106,0.025571583081036808,0.027746312899980693,0.002174729818943885
MLP-1H,0.8515555555555555,0.7844444444444444,-0.06711111111111112,0.850969463340892,0.7918425672211387,-0.0591268961197533,0.07844915967900307,0.15894904530374332,0.08049988562474025
MLP-2H,0.8497777777777777,0.7826666666666666,-0.06711111111111112,0.8500135938135939,0.7888164544450259,-0.061197139368567965,0.19528051032102667,0.32136362766090315,0.12608311733987648
