Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,,MQ,minmax,,,,,,0.1,0.8191111111111111,0.04724718294561377,0.7333333333333333,0.9333333333333333,0.8222222222222222,0.8557653584510727,0.8191111111111111,0.8242188441188442,0.03555746047757566,0.00020196510246023536,0.03575942558003589
40x40,,PL,minmax_pm1,nesterov,,,0.02,100,0.0001,0.8622222222222222,0.05277485372016852,0.7555555555555555,0.9555555555555556,0.8666666666666667,0.8911650793650794,0.8622222222222222,0.861224716553288,0.029083483502618038,0.00012410664174240083,0.02920759014436044
40x40,,MLP-1H,minmax,momentum,tanh,"(512,)",0.01,200,0.0,0.8577777777777778,0.04848316495393651,0.7777777777777778,0.9555555555555556,0.8666666666666667,0.8842478632478632,0.8577777777777778,0.8619521193092622,1.1358523137605516,0.0009199255198473111,1.136772239280399
40x40,,MLP-2H,minmax_pm1,nesterov,tanh,"(32, 512)",0.01,300,0.0001,0.8551111111111112,0.05225578117937447,0.7333333333333333,0.9555555555555556,0.8444444444444444,0.8853650793650794,0.855111111111111,0.8555102796674225,0.6116097485570936,0.000634032238740474,0.6122437807958341
