Scale,q,Model,Norm,Opt,Act,Hidden,LR,Epochs,L2,acc_mean,acc_std,acc_min,acc_max,acc_median,precision_mean,recall_mean,f1_mean,fit_time_mean,pred_time_mean,total_time_mean
40x40,1600,MQ,none,,,,,,0.001,0.8048888888888889,0.04450884223429135,0.7111111111111111,0.9333333333333333,0.8,0.8444599511599511,0.8048888888888889,0.8124406767835339,0.0008493894200000795,7.459486008883687e-05,0.0009239842800889165
40x40,1600,PL,none,nesterov,,,0.01,200,0.001,0.8057777777777778,0.06391506710056039,0.6666666666666666,0.9333333333333333,0.8111111111111111,0.8548633786848072,0.8057777777777777,0.8108880468737611,0.035719315400092454,9.89265600219369e-05,0.03581824196011439
40x40,1600,MLP-1H,minmax,adam,swish,"(256,)",0.005,300,0.001,0.8693333333333333,0.0502123884177728,0.7555555555555555,0.9777777777777777,0.8666666666666667,0.8990888888888888,0.8693333333333333,0.8716428571428572,0.5874512953199519,0.00027821230003610253,0.587729507619988
40x40,1600,MLP-2H,minmax,adam,tanh,"(256, 64)",0.005,300,0.0001,0.8626666666666667,0.05290382608861872,0.7333333333333333,0.9777777777777777,0.8666666666666667,0.8924529914529914,0.8626666666666667,0.862626332926333,0.6433925644200644,0.00028482718000304885,0.6436773916000675
